date,method,ticker,weight
2018-01-31,sample,10104,0.06511546030225625
2018-01-31,ledoit_wolf,10104,0.03118657342216767
2018-01-31,sample,10107,0.06933824659076576
2018-01-31,ledoit_wolf,10107,0.015577195564356666
2018-01-31,sample,10145,-0.0398197818171047
2018-01-31,ledoit_wolf,10145,-0.005606424301061943
2018-01-31,sample,11308,0.015726186909342153
2018-01-31,ledoit_wolf,11308,0.029286539749650564
2018-01-31,sample,11762,0.006141034829655891
2018-01-31,ledoit_wolf,11762,0.005964961110879538
2018-01-31,sample,11850,0.07964035366388977
2018-01-31,ledoit_wolf,11850,0.05567824254523411
2018-01-31,sample,12060,0.10968261901886361
2018-01-31,ledoit_wolf,12060,0.05818615562966231
2018-01-31,sample,12490,0.0008665354311933523
2018-01-31,ledoit_wolf,12490,0.012791906071273331
2018-01-31,sample,13447,0.005316199429719568
2018-01-31,ledoit_wolf,13447,2.5685593304108665e-05
2018-01-31,sample,13511,-0.027150493859368508
2018-01-31,ledoit_wolf,13511,-0.008243661686749119
2018-01-31,sample,13721,-0.03268604023790855
2018-01-31,ledoit_wolf,13721,-0.0132486636094928
2018-01-31,sample,13856,0.04773758864009129
2018-01-31,ledoit_wolf,13856,0.033770880477853614
2018-01-31,sample,13901,-0.00044109913768906384
2018-01-31,ledoit_wolf,13901,0.01726246610452885
2018-01-31,sample,13928,0.01176407334518249
2018-01-31,ledoit_wolf,13928,0.010023382232474764
2018-01-31,sample,14008,-0.048530333831796675
2018-01-31,ledoit_wolf,14008,-0.031094844134613806
2018-01-31,sample,14541,0.006798357957032326
2018-01-31,ledoit_wolf,14541,0.011362181317792926
2018-01-31,sample,14542,0.029876655779188303
2018-01-31,ledoit_wolf,14542,0.01739118811039827
2018-01-31,sample,14593,-0.007289331236109463
2018-01-31,ledoit_wolf,14593,-0.012217868192068965
2018-01-31,sample,14702,-0.004881056510758012
2018-01-31,ledoit_wolf,14702,-0.0019307786156957023
2018-01-31,sample,14714,0.057735232708833885
2018-01-31,ledoit_wolf,14714,0.03792520137099432
2018-01-31,sample,15579,0.02662582352257112
2018-01-31,ledoit_wolf,15579,0.01685988056431215
2018-01-31,sample,18163,0.12527523990311365
2018-01-31,ledoit_wolf,18163,0.07061033942419563
2018-01-31,sample,18542,0.0008251612440557378
2018-01-31,ledoit_wolf,18542,-0.005262853440555695
2018-01-31,sample,19350,-0.00021140061748277887
2018-01-31,ledoit_wolf,19350,0.011950480143581091
