date,effective_n
2018-01-31,5.198665130881622
2018-02-28,5.003545270467545
2018-03-29,5.017962526796299
2018-04-30,5.3645275971308575
2018-05-31,4.774725896230665
2018-06-29,4.773784549134535
2018-07-31,4.972043809513424
2018-08-31,5.125197732083006
2018-09-28,4.996397088765835
2018-10-31,5.036839494379945
2018-11-30,4.524796225854601
2018-12-31,4.598900490349635
2019-01-31,5.263722225492462
2019-02-28,4.904200021093106
2019-03-29,5.3365314054972535
2019-04-30,5.311733313525778
2019-05-31,4.974710242220902
2019-06-28,4.7516280082783915
2019-07-31,4.728222498677009
2019-08-30,4.855873954739822
2019-09-30,4.939306353307163
2019-10-31,4.912855811198654
2019-11-29,4.82607540876518
2019-12-31,4.729962115109788
2020-01-31,4.689397891694478
2020-02-28,4.659208601727509
2020-03-31,4.428461116436753
2020-04-30,4.247705808881535
2020-05-29,4.188454941053366
2020-06-30,4.123594774285661
2020-07-31,4.060652305309517
2020-08-31,4.076959747588409
2020-09-30,4.07079154423572
2020-10-30,4.103350828710048
2020-11-30,3.9771275452556174
2020-12-31,4.009286453904745
2021-01-29,4.02031207031714
2021-02-26,3.974880401824687
2021-03-31,3.7498998875690117
2021-04-30,4.031423461156569
2021-05-28,3.9717036757168156
2021-06-30,3.967681034107774
2021-07-30,3.9905197707764586
2021-08-31,4.20418520442478
2021-09-30,4.212818954540809
2021-10-29,4.2337073676954535
2021-11-30,4.652672161893407
2021-12-31,4.56709102920534
2022-01-31,4.7712348045919
2022-02-28,5.531594992353786
2022-03-31,5.430802778800212
2022-04-29,5.467448919364579
2022-05-31,4.88112319267698
2022-06-30,5.241866654068471
2022-07-29,5.016570833570983
2022-08-31,5.196031220752516
2022-09-30,5.009070800774363
2022-10-31,4.522251273037593
2022-11-30,4.787223442616489
2022-12-30,4.5958879850230225
2023-01-31,4.3538451785376475
2023-02-28,4.290155308291357
2023-03-31,3.9973490380640344
2023-04-28,5.100121106860937
2023-05-31,4.268537901759845
2023-06-30,4.4768376626734945
2023-07-31,4.486776023453834
2023-08-31,4.603441302833764
2023-09-29,4.7279780769188715
2023-10-31,4.665771295597947
2023-11-30,4.676413057075879
2023-12-29,4.576425918836875
2024-01-31,4.589199252821476
2024-02-29,4.648377623258126
2024-03-28,4.405673671022148
2024-04-30,4.752075645064026
2024-05-31,5.149452918930211
2024-06-28,5.312369802086772
2024-07-31,5.303928441136258
2024-08-30,5.313256461145726
2024-09-30,5.3027881609122165
2024-10-31,5.450235835352911
2024-11-29,4.12885553302822
