date,effective_n
2018-01-31,6.360260889465588
2018-02-28,5.796743521296108
2018-03-29,6.405453268693002
2018-04-30,6.295987892897252
2018-05-31,6.104134364146614
2018-06-29,5.922451411818762
2018-07-31,6.041809650904803
2018-08-31,5.805300981966432
2018-09-28,5.667708608194156
2018-10-31,5.668206922825001
2018-11-30,5.7227641519798915
2018-12-31,5.6899601447067925
2019-01-31,5.7707249325729455
2019-02-28,5.813320424829422
2019-03-29,6.210135520429992
2019-04-30,6.266376197388083
2019-05-31,5.97258308246065
2019-06-28,5.3512735267673825
2019-07-31,5.254350763353867
2019-08-30,5.395955160957218
2019-09-30,5.245943155910273
2019-10-31,5.214076549841438
2019-11-29,5.444797960131527
2019-12-31,5.424430923137403
2020-01-31,5.415566174200697
2020-02-28,5.440052965904173
2020-03-31,4.888024719548383
2020-04-30,4.780371206139583
2020-05-29,4.315325705074713
2020-06-30,4.50398163032425
2020-07-31,4.5056697378297725
2020-08-31,4.490095685208619
2020-09-30,4.5285308327756
2020-10-30,4.32467888284611
2020-11-30,4.3531289180966475
2020-12-31,4.286704543845412
2021-01-29,4.29233028389335
2021-02-26,4.510947801482956
2021-03-31,4.405213789629374
2021-04-30,4.654537368957455
2021-05-28,4.789367047674158
2021-06-30,4.814208890137407
2021-07-30,4.90549941456988
2021-08-31,5.038862667300214
2021-09-30,5.148303824825701
2021-10-29,5.237998253429891
2021-11-30,5.043639697383833
2021-12-31,5.064820984888055
2022-01-31,5.5334058838895475
2022-02-28,6.163666148200434
2022-03-31,6.0897254870833315
2022-04-29,6.140118845677984
2022-05-31,5.777068477728554
2022-06-30,6.483684956842324
2022-07-29,6.1743185554072015
2022-08-31,6.0270313365661545
2022-09-30,5.978279327426894
2022-10-31,5.258444234953959
2022-11-30,5.311231657942571
2022-12-30,5.243828883821609
2023-01-31,5.033355502596355
2023-02-28,4.975104720688797
2023-03-31,5.394028433803768
2023-04-28,5.630172401210423
2023-05-31,5.202143058523002
2023-06-30,5.33832788937879
2023-07-31,5.287547156291051
2023-08-31,5.267950498727161
2023-09-29,5.692578381346335
2023-10-31,5.611367916731859
2023-11-30,5.75288418384378
2023-12-29,5.859731907717093
2024-01-31,5.811382856789851
2024-02-29,5.948016304384114
2024-03-28,5.74260887777958
2024-04-30,5.744109668814258
2024-05-31,5.852895013814592
2024-06-28,5.891654760055339
2024-07-31,5.889061585408864
2024-08-30,5.902693776060027
2024-09-30,5.882563687919035
2024-10-31,5.983648986903284
2024-11-29,5.46880142426044
