date,hhi
2018-01-31,0.19235707144507186
2018-02-28,0.19985828966159372
2018-03-29,0.19928407090725062
2018-04-30,0.18640970372392826
2018-05-31,0.20943610622537198
2018-06-29,0.20947740512949947
2018-07-31,0.20112453516330994
2018-08-31,0.19511442334022408
2018-09-28,0.20014422037200633
2018-10-31,0.1985371980019991
2018-11-30,0.22100442762173877
2018-12-31,0.21744327847458472
2019-01-31,0.1899796298438682
2019-02-28,0.2039068544714675
2019-03-29,0.1873876351537785
2019-04-30,0.18826246367708327
2019-05-31,0.20101673289690167
2019-06-28,0.2104541850199085
2019-07-31,0.21149596921037606
2019-08-30,0.20593615265155293
2019-09-30,0.20245757773871217
2019-10-31,0.20354759806313483
2019-11-29,0.2072077030093204
2019-12-31,0.2114181838381995
2020-01-31,0.21324699313127762
2020-02-28,0.21462872463560162
2020-03-31,0.2258120764092029
2020-04-30,0.23542120028865898
2020-05-29,0.23875152390883958
2020-06-30,0.24250685499843572
2020-07-31,0.2462658520879631
2020-08-31,0.24528081264268478
2020-09-30,0.24565247056583125
2020-10-30,0.24370326636544637
2020-11-30,0.25143774963740273
2020-12-31,0.2494209409821727
2021-01-29,0.248736909600432
2021-02-26,0.25157989647712303
2021-03-31,0.2666737859629317
2021-04-30,0.2480513420718923
2021-05-28,0.2517811200553675
2021-06-30,0.2520363888638224
2021-07-30,0.2505939219555412
2021-08-31,0.2378582177939092
2021-09-30,0.2373707512216125
2021-10-29,0.2361996031256957
2021-11-30,0.214930251950752
2021-12-31,0.21895775529878084
2022-01-31,0.2095893497082949
2022-02-28,0.18077968495204008
2022-03-31,0.18413483986264786
2022-04-29,0.18290065709771988
2022-05-31,0.20487087920671077
2022-06-30,0.19077173571820083
2022-07-29,0.19933935614104797
2022-08-31,0.19245457879584774
2022-09-30,0.19963782501245694
2022-10-31,0.22112880059588125
2022-11-30,0.20888935141357082
2022-12-30,0.21758580784796708
2023-01-31,0.2296820302498391
2023-02-28,0.2330917946180999
2023-03-31,0.2501657950000564
2023-04-28,0.19607377531775672
2023-05-31,0.2342722550472651
2023-06-30,0.22337195925992462
2023-07-31,0.22287718280847443
2023-08-31,0.21722879346466842
2023-09-29,0.21150690289403373
2023-10-31,0.21432683615321607
2023-11-30,0.21383910869184244
2023-12-29,0.21851113024334845
2024-01-31,0.2179029379439544
2024-02-29,0.21512882150462706
2024-03-28,0.22698004316057133
2024-04-30,0.210434360622752
2024-05-31,0.1941953865281184
2024-06-28,0.18823990747164973
2024-07-31,0.1885394969216007
2024-08-30,0.18820849460452446
2024-09-30,0.18858003934065776
2024-10-31,0.1834782989597456
2024-11-29,0.24219786621271572
